startDate,approve,disapprove
2024-01-28,45.0,54.0
2024-01-25,42.0,55.0
2024-01-01,35.3,56.9
2024-01-26,37.0,60.0
2024-01-25,38.0,62.0
2024-01-27,35.0,56.0
2024-01-28,41.0,54.0
2024-01-25,38.0,61.0
2024-01-25,39.0,55.0
2024-01-25,40.0,56.0
2024-01-26,42.2,46.3
2024-01-26,38.0,57.0
2024-01-26,35.0,53.0
2024-01-24,41.0,58.0
2024-01-21,45.0,54.0
2024-01-19,39.0,54.0
2024-01-21,40.0,56.0
2024-01-02,41.0,54.0
2024-01-19,41.0,55.0
2024-01-16,33.0,65.0
2024-01-17,38.0,57.0
2024-01-17,40.0,54.0
2024-01-17,37.0,60.0
2024-01-16,42.69,57.31
2024-01-16,39.0,58.0
2024-01-17,42.0,57.0
2024-01-18,38.0,47.0
2024-01-14,45.0,54.0
2024-01-16,42.0,53.0
2024-01-14,40.0,54.0
2024-01-11,39.9,60.1
2024-01-10,36.0,61.0
2024-01-07,44.0,55.0
2024-01-08,43.0,57.0
2024-01-07,40.0,53.0
2024-01-04,33.0,58.0
2024-01-03,36.0,54.0
2024-01-03,41.0,59.0
2024-01-02,37.0,60.0
2024-01-03,41.0,58.0
2023-12-27,43.0,56.0
2023-12-28,39.0,58.0
2023-12-27,37.0,55.0
2023-12-31,39.0,56.0
2023-12-25,37.0,55.0
2023-12-20,46.0,53.0
2023-12-23,38.9,57.6
2023-12-18,39.0,54.0
2023-12-20,36.0,62.0
2023-12-01,39.0,59.0
2023-12-17,37.0,57.0
2023-12-13,43.0,55.0
2023-12-18,39.0,59.0
2023-12-13,44.0,54.0
2023-12-14,35.0,59.0
2023-12-14,37.0,57.0
2023-12-16,40.0,54.0
2023-12-11,38.0,55.0
2023-12-14,39.4,60.6
2023-12-15,41.0,57.0
2023-12-15,39.0,50.0
2023-12-12,41.0,58.0
2023-12-04,41.0,51.0
2023-12-10,37.0,58.0
2023-12-13,38.0,59.0
2023-12-13,43.0,56.0
2023-12-10,43.0,57.0
2023-12-08,35.0,59.0
2023-12-09,39.0,55.0
2023-12-06,43.0,56.0
2023-12-07,39.0,53.0
2023-12-04,38.0,55.0
2023-12-07,38.0,54.0
2023-12-08,40.0,47.0
2023-12-06,41.0,59.0
2023-12-04,40.0,53.0
2023-12-05,40.0,57.0
2023-11-30,44.0,55.0
2023-12-04,40.6,50.7
2023-12-04,39.0,56.0
2023-12-02,39.0,55.0
2023-11-29,45.0,53.0
2023-11-30,41.0,57.0
2023-11-29,37.0,61.0
2023-11-30,41.0,59.0
2023-11-30,34.0,61.0
2023-11-27,33.0,64.0
2023-11-27,37.0,55.0
2023-12-01,39.78,53.08
2023-11-27,37.8,53.7
2023-11-27,38.0,56.0
2023-11-29,33.0,55.0
2023-11-01,35.8,57.3
2023-11-01,37.0,63.0
2023-11-27,38.2,61.8
2023-11-22,38.0,57.0
2023-11-20,44.0,54.0
2023-11-26,41.85,58.15
2023-11-27,40.0,57.0
2023-11-25,41.0,54.0
2023-11-20,39.0,54.0
2023-11-24,35.0,55.0
2023-11-01,37.0,59.0
2023-11-08,38.0,48.0
2023-11-16,43.0,55.0
2023-11-18,40.0,54.0
2023-11-17,37.6,49.9
2023-11-17,37.0,57.0
2023-11-13,38.0,55.0
2023-11-15,39.0,57.0
2023-11-13,42.0,56.0
2023-11-14,39.0,59.0
2023-11-15,45.0,52.0
2023-11-09,42.4,54.7
2023-11-10,40.0,57.0
2023-11-13,39.0,58.0
2023-11-11,41.0,52.0
2023-11-10,44.0,53.0
2023-11-09,39.0,58.0
2023-11-10,40.0,59.0
2023-11-09,36.0,59.0
2023-11-09,38.0,56.0
2023-11-06,39.0,54.0
2023-11-06,45.0,53.0
2023-11-01,38.0,58.0
2023-11-08,35.0,61.0
2023-11-06,42.0,51.0
2023-11-02,40.0,60.0
2023-11-02,40.0,59.0
2023-11-06,40.0,56.0
2023-11-05,40.0,54.0
2023-11-03,42.1,57.9
2023-11-02,38.0,61.0
2023-10-30,39.0,54.0
2023-10-30,36.7,55.3
2023-10-30,41.0,57.0
2023-11-03,38.54,55.65
2023-11-01,39.0,52.0
2023-10-27,39.0,61.0
2023-11-01,39.0,58.0
2023-10-30,41.0,56.0
2023-10-01,39.0,53.0
2023-10-28,37.0,55.0
2023-10-28,39.0,57.0
2023-10-26,38.0,59.0
2023-10-26,36.0,59.0
2023-10-27,44.9,52.6
2023-10-23,39.0,54.0
2023-10-27,37.0,51.0
2023-10-29,37.5,45.2
2023-10-23,43.0,55.0
2023-10-26,40.0,50.0
2023-10-20,37.0,56.0
2023-10-20,41.0,57.0
2023-10-23,37.0,61.0
2023-10-25,37.0,61.0
2023-10-23,44.22,55.78
2023-10-19,43.0,55.0
2023-10-21,40.0,55.0
2023-10-02,37.0,59.0
2023-10-16,40.0,56.0
2023-10-16,39.0,53.0
2023-10-19,42.4,57.6
2023-10-16,48.0,51.0
2023-10-20,40.0,58.0
2023-10-17,38.0,56.0
2023-10-17,39.8,56.3
2023-10-18,38.0,53.0
2023-10-16,40.0,54.0
2023-10-18,40.0,56.0
2023-10-16,40.0,60.0
2023-10-18,44.0,53.0
2023-10-11,40.4,57.1
2023-10-16,41.0,57.0
2023-10-16,42.0,49.6
2023-10-14,41.0,53.0
2023-10-12,40.0,58.0
2023-10-11,37.0,58.0
2023-10-12,37.0,55.0
2023-10-12,39.0,54.0
2023-10-11,31.0,63.0
2023-10-09,40.0,53.0
2023-10-13,48.0,50.2
2023-10-10,38.0,53.0
2023-10-09,43.0,54.0
2023-10-09,37.0,58.0
2023-10-11,43.0,52.0
2023-10-09,39.0,56.0
2023-10-08,41.0,54.0
2023-10-05,37.0,60.0
2023-10-04,41.0,59.0
2023-10-06,41.0,58.0
2023-10-05,38.0,61.0
2023-10-02,39.0,53.0
2023-10-06,40.4,53.83
2023-10-02,42.0,56.0
2023-10-04,39.0,56.0
2023-10-04,40.0,56.0
2023-09-29,39.0,53.0
2023-09-30,40.0,55.0
2023-09-28,27.0,64.0
2023-09-28,40.9,59.1
2023-09-25,39.0,53.0
2023-09-25,49.0,48.0
2023-09-01,41.0,53.0
2023-09-27,36.0,54.0
2023-09-28,40.0,56.0
2023-09-25,42.0,50.0
2023-09-25,38.0,59.0
2023-09-21,42.0,52.0
2023-09-22,42.0,54.0
2023-09-23,40.0,55.0
2023-09-18,39.0,61.0
2023-09-21,42.0,56.0
2023-09-20,37.0,54.0
2023-09-18,40.0,53.0
2023-09-22,37.0,52.0
2023-09-19,38.0,55.0
2023-09-22,43.2,56.8
2023-09-18,44.0,54.0
2023-09-01,41.0,58.0
2023-09-19,43.28,56.72
2023-09-15,37.0,56.0
2023-09-17,39.0,56.0
2023-09-13,40.0,56.0
2023-09-15,41.0,56.0
2023-09-18,40.0,59.0
2023-09-15,46.0,54.0
2023-09-17,41.0,55.0
2023-09-07,45.0,53.0
2023-09-16,43.3,51.5
2023-09-17,41.3,47.4
2023-09-14,38.0,56.0
2023-09-17,36.0,46.0
2023-09-11,39.0,53.0
2023-09-11,46.0,53.0
2023-09-13,38.0,53.0
2023-09-13,40.0,58.0
2023-09-13,42.0,54.0
2023-08-17,41.0,55.0
2023-09-11,42.0,56.0
2023-09-09,41.0,58.0
2023-09-09,39.0,52.0
2023-09-10,38.0,57.0
2023-08-25,40.0,50.0
2023-09-07,39.0,57.0
2023-09-07,40.0,59.0
2023-09-06,43.0,52.0
2023-09-07,36.0,57.0
2023-09-04,41.0,52.0
2023-09-07,41.6,58.3
2023-09-08,41.61,52.34
2023-09-04,45.0,53.0
2023-09-05,40.0,60.0
2023-09-06,41.0,56.0
2023-09-05,39.0,58.0
2023-08-30,32.0,61.0
2023-09-02,41.0,53.0
2023-09-03,38.0,46.0
2023-08-28,40.0,52.0
2023-08-28,40.0,57.0
2023-08-30,41.0,49.0
2023-08-01,39.0,55.0
2023-08-24,41.0,56.0
2023-08-28,41.0,57.0
2023-08-25,39.0,61.0
2023-08-25,40.0,57.0
2023-08-24,42.0,57.0
2023-08-29,42.0,56.0
2023-08-26,38.0,55.0
2023-08-21,40.0,52.0
2023-08-25,36.6,54.7
2023-08-21,44.0,53.0
2023-08-24,43.0,54.0
2023-08-25,43.3,47.0
2023-08-21,41.0,56.0
2023-08-24,47.6,52.35
2023-08-24,42.0,55.0
2023-08-23,44.0,50.0
2023-08-01,42.0,53.0
2023-08-15,43.0,54.0
2023-08-19,41.0,54.0
2023-08-17,40.0,56.0
2023-08-17,44.0,54.0
2023-08-17,41.0,54.0
2023-08-17,44.0,52.0
2023-08-17,32.0,59.0
2023-08-14,40.0,52.0
2023-08-17,43.8,56.1
2023-08-17,41.0,54.0
2023-08-14,47.0,51.0
2023-08-16,42.1,47.3
2023-08-10,39.0,55.0
2023-08-12,40.0,53.0
2023-08-11,43.0,54.0
2023-08-11,42.0,58.0
2023-08-10,37.0,56.0
2023-08-11,41.0,52.0
2023-08-10,42.0,57.0
2023-08-11,37.0,59.0
2023-08-07,40.0,52.0
2023-08-07,43.0,55.0
2023-08-09,39.0,53.0
2023-08-05,43.0,51.0
2023-08-07,39.0,58.0
2023-08-05,41.0,53.0
2023-08-03,40.0,56.0
2023-08-02,30.0,59.0
2023-08-05,36.0,47.0
2023-07-31,40.0,53.0
2023-08-04,40.0,54.0
2023-07-31,46.0,52.0
2023-08-02,38.0,51.0
2023-07-31,40.0,54.0
2023-08-02,41.0,55.0
2023-07-28,40.0,55.0
2023-07-29,40.0,56.0
2023-07-01,39.0,54.0
2023-07-28,44.0,54.0
2023-07-01,41.0,59.0
2023-07-24,41.0,51.0
2023-07-27,44.0,56.0
2023-07-24,47.0,51.0
2023-07-26,40.0,60.0
2023-07-24,41.0,52.0
2023-07-26,41.0,56.0
2023-07-24,41.0,57.0
2023-07-23,39.0,54.0
2023-07-03,40.0,55.0
2023-07-24,38.2,51.9
2023-07-21,31.0,60.0
2023-07-22,44.0,52.0
2023-07-20,40.0,57.0
2023-07-19,42.0,56.0
2023-07-21,41.0,53.0
2023-07-17,40.0,52.0
2023-07-17,44.0,55.0
2023-07-19,42.0,55.0
2023-07-17,40.0,56.0
2023-07-18,43.0,55.0
2023-07-17,46.45,53.55
2023-07-15,40.0,54.0
2023-07-14,44.0,54.0
2023-07-13,40.0,54.0
2023-07-13,38.0,54.0
2023-07-12,44.0,52.0
2023-07-13,43.0,57.0
2023-07-12,39.0,55.0
2023-07-10,40.0,52.0
2023-07-10,44.0,55.0
2023-07-07,28.0,60.0
2023-07-07,42.0,57.0
2023-07-11,42.0,56.0
2023-07-10,40.0,55.0
2023-07-08,39.0,56.0
2023-07-06,39.0,57.0
2023-07-07,40.17,54.46
2023-07-03,40.0,52.0
2023-07-03,46.0,52.0
2023-07-05,38.0,51.0
2023-07-06,40.0,48.0
2023-07-05,41.0,54.0
2023-07-01,38.0,55.0
2023-06-26,40.0,52.0
2023-06-26,44.0,53.0
2023-06-01,39.0,55.0
2023-06-23,39.0,54.0
2023-06-20,43.0,55.0
2023-06-26,44.0,55.0
2023-06-26,42.0,55.0
2023-06-24,39.0,55.0
2023-06-23,44.0,55.0
2023-06-22,41.0,58.0
2023-06-23,31.0,60.0
2023-06-25,37.0,45.0
2023-06-19,40.0,52.0
2023-06-22,41.3,58.7
2023-06-19,45.0,53.0
2023-06-22,39.0,54.0
2023-06-19,41.0,54.0
2023-06-01,43.0,54.0
2023-06-19,38.0,53.0
2023-06-19,41.0,58.0
2023-06-14,40.0,57.0
2023-06-16,43.0,53.0
2023-06-19,40.8,50.5
2023-06-16,40.0,52.0
2023-06-17,45.0,51.0
2023-06-17,40.0,54.0
2023-06-16,42.0,55.0
2023-06-15,41.0,56.0
2023-06-12,40.0,51.0
2023-06-12,43.0,55.0
2023-06-13,45.0,52.0
2023-06-14,43.0,53.0
2023-06-14,40.0,57.0
2023-06-12,45.0,49.0
2023-06-09,38.2,53.3
2023-06-10,37.0,55.0
2023-06-10,42.0,54.0
2023-06-08,41.0,54.0
2023-06-09,34.0,56.0
2023-06-05,35.0,62.0
2023-06-10,39.0,46.0
2023-06-05,40.0,53.0
2023-06-08,42.1,57.9
2023-06-05,45.0,52.0
2023-06-07,41.0,59.0
2023-06-06,38.8,57.2
2023-06-05,40.3,53.9
2023-06-07,37.0,57.0
2023-05-31,44.0,52.0
2023-06-06,45.0,51.0
2023-06-03,42.0,53.0
2023-05-31,42.0,52.0
2023-06-02,40.0,55.0
2023-06-02,40.0,58.0
2023-06-02,41.0,54.0
2023-05-29,40.0,53.0
2023-05-25,44.0,54.0
2023-05-31,40.0,51.0
2023-05-31,42.0,56.0
2023-05-29,33.0,57.0
2023-05-01,38.0,57.0
2023-05-31,37.0,51.0
2023-05-27,40.0,54.0
2023-05-25,44.0,49.0
2023-05-22,40.0,52.0
2023-05-26,37.1,54.9
2023-05-24,44.0,53.0
2023-05-25,46.76,53.24
2023-05-22,40.0,58.0
2023-05-22,44.0,54.0
2023-05-01,39.0,57.0
2023-05-18,43.0,55.0
2023-05-17,41.0,56.0
2023-05-18,41.0,53.0
2023-05-20,46.0,50.0
2023-05-19,42.0,58.0
2023-05-18,36.0,58.0
2023-05-18,40.0,58.0
2023-05-15,42.0,51.0
2023-05-17,40.0,60.0
2023-05-17,41.0,52.0
2023-05-17,41.0,59.0
2023-05-17,43.0,53.0
2023-05-08,39.0,61.0
2023-05-15,45.0,49.0
2023-05-17,43.0,54.0
2023-05-15,41.0,57.0
2023-05-17,40.0,45.0
2023-05-12,44.0,51.0
2023-05-11,42.0,56.0
2023-05-13,45.0,49.0
2023-05-10,44.0,52.0
2023-05-11,40.0,59.0
2023-05-12,35.0,55.0
2023-05-08,38.0,55.0
2023-05-08,42.0,51.0
2023-05-10,46.0,54.0
2023-05-10,35.7,54.1
2023-05-09,43.0,54.0
2023-05-04,44.0,54.0
2023-05-06,48.0,46.0
2023-05-04,43.0,54.0
2023-05-05,43.0,48.0
2023-05-05,40.0,57.0
2023-05-04,45.1,54.8
2023-05-01,42.0,51.0
2023-05-05,40.27,54.43
2023-05-04,42.0,56.0
2023-05-03,43.0,49.0
2023-05-02,39.9,55.4
2023-05-02,44.0,53.0
2023-04-27,44.0,56.0
2023-04-28,36.0,56.0
2023-04-27,48.0,51.0
2023-04-29,38.0,54.0
2023-04-28,42.0,56.0
2023-04-29,44.0,49.0
2023-03-27,43.0,57.0
2023-04-27,35.0,55.0
2023-04-01,39.0,55.0
2023-04-28,42.0,49.0
2023-04-24,42.0,51.0
2023-04-25,42.0,55.0
2023-04-24,42.0,55.0
2023-04-20,51.0,49.0
2023-04-03,37.0,59.0
2023-04-24,40.8,48.7
2023-04-22,47.0,48.0
2023-04-20,35.0,54.0
2023-04-20,42.0,55.0
2023-04-24,43.0,48.0
2023-04-21,44.0,55.0
2023-04-21,45.0,54.0
2023-04-21,41.0,59.0
2023-04-21,41.0,54.0
2023-04-17,42.0,51.0
2023-04-21,43.0,55.0
2023-04-19,38.5,52.6
2023-04-17,43.0,51.0
2023-04-17,41.0,50.0
2023-04-18,43.0,54.0
2023-04-13,48.0,50.0
2023-04-14,41.0,54.0
2023-04-15,42.0,50.0
2023-04-11,42.0,56.0
2023-04-13,42.0,58.0
2023-04-14,36.0,55.0
2023-04-14,44.0,50.0
2023-04-10,40.0,51.0
2023-04-14,39.16,53.78
2023-04-14,41.0,56.0
2023-04-11,50.0,48.0
2023-04-12,43.0,57.0
2023-04-10,39.0,57.7
2023-04-06,48.0,50.0
2023-04-06,39.0,55.0
2023-04-08,45.0,48.0
2023-04-05,40.0,52.0
2023-04-06,42.0,55.0
2023-04-06,45.0,53.0
2023-04-03,41.0,51.0
2023-03-30,45.0,53.0
2023-04-04,41.0,44.0
2023-04-01,44.0,50.0
2023-03-31,38.0,53.0
2023-03-27,37.0,60.0
2023-03-31,44.0,53.0
2023-03-27,40.0,52.0
2023-03-01,40.0,54.0
2023-03-01,42.0,57.0
2023-03-29,39.0,53.0
2023-03-29,45.0,45.0
2023-03-27,43.0,56.0
2023-03-23,48.0,51.0
2023-03-26,42.0,52.0
2023-03-23,43.0,54.0
2023-03-24,44.0,56.0
2023-03-23,37.0,57.0
2023-03-20,42.0,51.0
2023-03-01,40.0,56.0
2023-03-20,42.0,49.0
2023-03-22,43.0,55.0
2023-03-13,39.0,61.0
2023-03-20,45.0,55.0
2023-03-16,47.0,50.0
2023-03-13,47.1,52.9
2023-03-16,36.0,55.0
2023-03-19,43.0,51.0
2023-03-20,40.0,46.0
2023-03-16,38.0,61.0
2023-03-15,45.0,52.0
2023-03-16,44.0,54.0
2023-03-16,43.0,51.0
2023-03-16,41.0,51.0
2023-03-17,46.0,49.0
2023-03-17,43.0,54.0
2023-03-13,42.0,51.0
2023-03-14,39.0,51.0
2023-03-15,45.0,53.0
2023-03-15,37.6,53.8
2023-03-09,47.0,52.0
2023-03-13,46.0,51.0
2023-03-13,46.0,48.0
2023-03-11,42.0,50.0
2023-03-09,42.0,54.0
2023-03-09,38.0,55.0
2023-03-11,48.0,47.0
2023-03-10,44.0,54.0
2023-03-06,42.0,51.0
2023-03-11,47.0,48.0
2023-03-06,41.4,55.3
2023-03-02,49.0,50.0
2023-03-04,38.0,52.0
2023-03-04,41.0,52.0
2023-02-27,42.0,50.0
2023-03-03,45.0,49.0
2023-03-04,44.0,49.0
2023-03-03,45.0,52.0
2023-03-03,42.25,51.59
2023-03-03,46.0,49.0
2023-03-03,45.0,49.0
2023-03-03,44.0,53.0
2023-03-01,43.0,49.0
2023-03-01,45.0,45.0
2023-02-23,48.0,50.0
2023-02-01,42.0,53.0
2023-02-21,44.0,53.0
2023-02-25,42.0,51.0
2023-02-23,45.0,52.0
2023-02-23,41.0,53.0
2023-02-24,47.0,49.0
2023-02-20,41.0,51.0
2023-02-24,44.0,53.0
2023-02-24,44.0,50.0
2023-02-24,43.7,49.5
2023-02-01,42.0,54.0
2023-02-21,43.0,56.0
2023-02-17,44.0,54.0
2023-02-19,44.0,55.0
2023-02-17,41.0,53.0
2023-02-16,47.0,52.0
2023-02-20,44.0,50.0
2023-02-14,42.0,50.0
2023-02-16,47.0,48.0
2023-02-16,45.0,54.0
2023-02-17,45.0,51.0
2023-02-16,42.0,53.0
2023-02-17,43.0,51.0
2023-02-17,42.0,55.0
2023-02-16,40.0,52.0
2023-02-16,43.0,53.0
2023-02-13,41.0,51.0
2023-02-19,40.0,45.0
2023-02-15,40.5,51.0
2023-02-13,46.0,46.0
2023-02-15,42.0,55.0
2023-02-09,45.0,53.0
2023-02-09,40.0,54.0
2023-02-11,42.0,50.0
2023-02-09,46.0,54.0
2023-02-10,43.0,54.0
2023-02-09,43.0,54.0
2023-02-06,40.0,52.0
2023-02-10,44.0,53.0
2023-02-10,44.0,47.0
2023-02-02,44.0,54.0
2023-02-04,41.0,50.0
2023-02-02,41.0,52.0
2023-02-03,39.0,51.0
2023-02-03,42.0,55.0
2023-02-03,46.0,49.0
2023-01-30,40.0,52.0
2023-02-03,41.08,52.28
2023-02-04,44.0,50.0
2023-02-01,45.0,55.0
2023-02-01,46.0,44.0
2023-01-31,42.0,52.0
2023-01-27,42.0,53.0
2023-01-26,42.0,55.0
2023-01-01,40.0,49.0
2023-01-29,41.0,52.0
2023-01-26,41.0,58.0
2023-01-27,45.0,54.0
2023-01-26,43.0,48.0
2023-01-28,43.0,52.0
2023-01-28,39.0,44.0
2023-01-23,40.0,52.0
2023-01-28,44.0,52.0
2023-01-25,44.0,56.0
2023-01-23,43.0,48.0
2023-01-23,44.0,53.0
2023-01-23,40.0,57.0
2023-01-19,44.0,54.0
2023-01-18,38.0,60.0
2023-01-20,45.0,50.0
2023-01-19,45.0,53.0
2023-01-21,41.0,51.0
2023-01-20,43.0,55.0
2023-01-19,35.0,52.0
2023-01-20,46.0,50.0
2023-01-20,42.0,55.0
2023-01-02,41.0,54.0
2023-01-19,45.0,55.0
2023-01-20,43.0,55.0
2023-01-15,40.0,52.0
2023-01-19,44.2,47.8
2023-01-18,44.0,54.0
2023-01-09,43.0,56.0
2023-01-17,41.0,54.0
2023-01-18,38.3,51.9
2023-01-18,44.0,52.0
2023-01-18,42.0,56.0
2023-01-14,45.0,52.0
2023-01-12,44.0,54.0
2023-01-14,44.0,48.0
2023-01-14,44.0,50.0
2023-01-16,38.0,46.0
2023-01-12,43.0,49.0
2023-01-13,45.0,50.0
2023-01-14,45.0,50.0
2023-01-13,43.0,55.0
2023-01-13,39.8,52.81
2023-01-11,36.0,53.0
2023-01-08,41.0,51.0
2023-01-11,44.0,51.0
2023-01-01,43.0,54.0
2023-01-09,45.0,51.0
2023-01-05,47.0,51.0
2023-01-08,47.0,45.0
2023-01-05,46.0,52.0
2023-01-06,43.0,54.0
2023-01-05,44.0,51.0
2023-01-07,44.0,50.0
2023-01-05,43.0,53.0
2023-01-05,37.0,52.0
2023-01-01,42.0,51.0
2023-01-04,41.5,50.7
2023-01-04,44.0,46.0
2023-01-04,44.0,56.0
2022-12-28,47.0,52.0
2022-12-31,44.0,46.0
2022-12-01,45.0,47.0
2022-12-25,41.0,52.0
2022-12-28,42.0,56.0
2022-12-22,47.0,51.0
2022-12-21,43.0,55.0
2022-12-18,42.0,52.0
2022-12-19,46.0,51.0
2022-12-19,38.79,55.3
2022-12-17,45.0,50.0
2022-12-17,43.0,48.0
2022-12-13,43.0,54.0
2022-12-14,45.0,51.0
2022-12-15,43.0,50.0
2022-12-16,43.0,54.0
2022-12-16,42.6,51.1
2022-12-14,47.0,50.0
2022-12-11,42.0,51.0
2022-12-14,43.0,53.0
2022-12-10,44.0,53.0
2022-12-14,42.0,55.0
2022-12-10,43.0,51.0
2022-12-12,45.0,52.0
2022-12-09,46.0,52.0
2022-12-10,41.0,47.0
2022-12-11,46.0,51.0
2022-12-12,39.31,55.5
2022-12-09,44.0,56.0
2022-12-08,40.0,50.0
2022-12-08,42.0,50.0
2022-12-09,44.0,53.0
2022-12-07,44.8,52.1
2022-12-04,42.0,51.0
2022-12-08,44.0,50.0
2022-12-07,43.0,51.0
2022-12-07,40.0,49.0
2022-12-06,43.0,48.0
2022-12-06,50.0,49.0
2022-12-03,42.0,56.0
2022-12-01,46.0,54.0
2022-12-05,37.84,55.96
2022-12-03,42.0,51.0
2022-12-02,45.0,55.0
2022-12-01,43.0,55.0
2022-12-05,41.0,45.0
2022-12-02,43.0,54.0
2022-12-01,42.0,52.0
2022-12-01,44.0,54.0
2022-11-27,41.0,51.0
2022-11-09,40.0,55.0
2022-11-30,41.2,50.8
2022-11-29,42.0,54.0
2022-11-01,43.0,50.0
2022-11-26,41.0,54.0
2022-11-28,43.0,56.0
2022-11-26,39.37,50.38
2022-11-28,40.4,54.79
2022-11-25,45.0,53.0
2022-11-21,45.0,54.0
2022-11-20,41.0,52.0
2022-10-26,45.0,54.0
2022-11-15,45.0,55.0
2022-11-21,37.0,57.0
2022-11-19,43.0,47.0
2022-11-18,44.0,53.0
2022-11-17,44.0,55.0
2022-11-18,42.0,56.0
2022-11-18,42.0,56.0
2022-11-16,36.0,54.0
2022-11-17,41.0,54.0
2022-11-16,45.0,54.0
2022-11-13,42.0,51.0
2022-11-17,43.0,55.0
2022-11-17,45.0,51.0
2022-11-18,38.7,52.3
2022-11-16,40.4,50.9
2022-11-16,44.0,52.0
2022-11-16,43.0,54.0
2022-11-17,40.0,46.0
2022-11-14,42.0,54.0
2022-11-09,44.0,51.0
2022-11-14,37.2,57.22
2022-11-13,42.5,49.94
2022-11-13,45.0,53.0
2022-11-01,43.0,56.0
2022-11-09,44.0,51.0
2022-11-10,43.0,54.0
2022-11-10,43.0,55.0
2022-11-11,42.0,55.0
2022-11-10,44.0,54.0
2022-11-06,42.0,51.0
2022-11-10,46.0,50.0
2022-11-09,45.1,53.4
2022-11-08,45.0,54.0
2022-11-09,41.4,51.9
2022-11-08,47.0,53.0
2022-10-22,44.0,55.0
2022-11-03,44.0,56.0
2022-11-06,43.0,54.0
2022-11-08,41.0,55.0
2022-11-04,45.0,55.0
2022-10-26,50.0,50.0
2022-11-02,42.0,55.0
2022-11-03,42.0,57.0
2022-11-04,38.55,56.56
